Comarca;Població;Superfície km2;Densitat (habitants/km2)
Alt Camp;44296;538;82.3
Alt Empordà;141339;1357.54;104.1
Alt Penedès;108411;592.69;182.9
Alt Urgell;20177;1447.46;13.9
Alta Ribagorça;3802;426.86;8.9
Anoia;120738;866.31;139.4
Aran;10093;633.6;15.9
Bages;178885;1092.3;163.8
Baix Camp;190973;697.15;273.9
Baix Ebre;77596;1002.67;77.4
Baix Empordà;134359;701.69;191.5
Baix Llobregat;825963;485.99;1699.6
Baix Penedès;104991;296.45;354.2
Barcelonès;2278437;145.75;15632.5
Berguedà;39446;1185.25;33.3
Cerdanya;18192;546.69;33.3
Conca de Barberà;20042;650.17;30.8
Garraf;150887;185.11;815.1
Garrigues;18833;797.7;23.6
Garrotxa;57590;734.62;78.4
Gironès;193908;575.6;336.9
Maresme;452690;398.53;1135.9
Moianès;13603;337.9;40.3
Montsià;67436;735.42;91.7
Noguera;38770;1784.07;21.7
Osona;160821;1245.2;129.2
Pallars Jussà;13080;1343.09;9.7
Pallars Sobirà;6932;1377.92;5
Pla d'Urgell;36693;305.14;120.3
Pla de l'Estany;32293;262.78;122.9
Priorat;9245;498.61;18.5
Ribera d'Ebre;21865;827.32;26.4
Ripollès;25087;956.62;26.2
Segarra;23052;722.72;31.9
Segrià;209818;1396.66;150.2
Selva;171617;995.04;172.5
Solsonès;13469;1001.24;13.5
Tarragonès;256730;319.37;803.9
Terra Alta;11490;743.04;15.5
Urgell;36693;579.66;63.3
Vallès Occidental;925237;583.13;1586.7
Vallès Oriental;409638;735;557.3
Catalunya;7675217;32108;239
Metropolità;4895876;2464.38;1986.7
Comarques Gironines;756193;5583.89;135.4
Camp de Tarragona;521286;2703.3;192.8
Terres de l'Ebre;178387;3308.45;53.9
Ponent;363859;5585.95;65.1
Comarques Centrals;407606;4940.69;82.5
Alt Pirineu i Aran;72276;5775.62;12.5
Penedès;479734;1745.7;274.8
Barcelona;5664579;7726.36;733.2
Girona;771044;5905;130.6
Lleida;434930;12168.42;35.7
Tarragona;804664;6308.2;127.6
;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/pub/?id=aec&n=249&t=2019;;;
