Comarca;Capital de comarca;Província;Nombre de municipis;Població;
Alt Camp;Valls;Tarragona;23;44.296;
Alt Empordà;Figueres;Girona;68;141.339;
Alt Penedès;Vilafranca del Penedès;Barcelona;27;108.411;
Alt Urgell;Seu d'Urgell, la;Lleida;19;20.177;
Alta Ribagorça;Pont de Suert, el;Lleida;3;3.802;
Anoia;Igualada;Barcelona;33;120.738;
Aran;Vielha e Mijaran;Lleida;9;10.093;
Bages;Manresa;Barcelona;30;178.885;
Baix Camp;Reus;Tarragona;28;190.973;
Baix Ebre;Tortosa;Tarragona;14;77.596;
Baix Empordà;Bisbal d'Empordà, la;Girona;36;134.359;
Baix Llobregat;St. Feliu de Llobregat;Barcelona;30;825.963;
Baix Penedès;Vendrell, el;Tarragona;14;104.991;
Barcelonès;Barcelona;Barcelona;5;2.278.437;
Berguedà;Berga;Barcelona/Lleida (1);31;39.446;
Cerdanya;Puigcerdà;Girona/Lleida (2);17;18.192;
Conca de Barberà;Montblanc;Tarragona;22;20.042;
Garraf;Vilanova i la Geltrú;Barcelona;6;150.887;
Garrigues;Borges Blanques, les;Lleida;24;18.833;
Garrotxa;Olot;Girona;21;57.590;
Gironès;Girona;Girona;27;193.908;
Maresme;Mataró;Barcelona;30;452.690;
Moianès;Moià;Barcelona;10;13.603;
Montsià;Amposta;Tarragona;12;67.436;
Noguera;Balaguer;Lleida;30;38.770;
Osona;Vic;Barcelona/Girona (3);50;160.821;
Pallars Jussà;Tremp;Lleida;14;13.080;
Pallars Sobirà;Sort;Lleida;15;6.932;
Pla d'Urgell;Mollerussa;Lleida;16;36.693;
Pla de l'Estany;Banyoles;Girona;11;32.293;
Priorat;Falset;Taragona;23;9.245;
Ribera d'Ebre;Móra d'Ebre;Tarragona;14;21.865;
Ripollès;Ripoll;Girona;19;25.087;
Segarra;Cervera;Lleida;21;23.052;
Segrià;Lleida;Lleida;38;209.818;
Selva;Sta. Coloma de Farners;Girona/Barcelona (4);26;171.617;
Solsonès;Solsona;Lleida;15;13.469;
Tarragonès;Tarragona;Tarragona;22;256.730;
Terra Alta;Gandesa;Tarragona;12;11.490;
Urgell;Tàrrega;Lleida;20;36.693;
Vallès Occidental;Sabadell i Terrassa;Barcelona;23;925.237;
Vallès Oriental;Granollers;Barcelona;39;409.638;
Catalunya;;;947;7.675.217;
;;;;;
Institut d'Estadística de Catalunya;;;;;
https://www.idescat.cat/pub/?id=aec&n=924&t=2019;;;;;
